imagen,porcentaje_enfermo,porcentaje_sano,estado,total_pixeles_aguacate
A.112.jpg,0.41,99.59,Sano,22647
A.110.jpg,4.94,95.06,Enfermo,23569
A.118.jpg,1.14,98.86,Enfermo,8396
A.108.jpg,1.79,98.21,Enfermo,21468
A.103.jpg,2.17,97.83,Enfermo,20015
A.10.jpg,0.43,99.57,Sano,8513
A.11.jpg,11.93,88.07,Enfermo,25813
A.104.jpg,0.89,99.11,Sano,20404
A.102.jpg,0.87,99.13,Sano,23762
A.106.jpg,4.49,95.51,Enfermo,22951
A.111.jpg,5.86,94.14,Enfermo,23789
A.101.jpg,2.87,97.13,Enfermo,25260
A.114.jpg,3.65,96.35,Enfermo,21480
A.113.jpg,0.65,99.35,Sano,21119
A.115.jpg,1.57,98.43,Enfermo,21826
A.116.jpg,0.99,99.01,Sano,20813
A.0.jpg,7.51,92.49,Enfermo,6509
A.105.jpg,0.7,99.3,Sano,22297
A.100.jpg,0.66,99.34,Sano,21401
A.1.jpg,9.03,90.97,Enfermo,18307
A.109.jpg,1.21,98.79,Enfermo,27278
A.117.jpg,0.92,99.08,Sano,20700
A.107.jpg,18.82,81.18,Enfermo,23417
A.119.jpg,2.93,97.07,Enfermo,22686
A.3.jpg,2.47,97.53,Enfermo,24346
A.162.jpg,16.7,83.3,Enfermo,24804
A.51.jpg,11.54,88.46,Enfermo,21080
A.139.jpg,10.04,89.96,Enfermo,17435
A.154.jpg,13.08,86.92,Enfermo,18596
A.142.jpg,22.77,77.23,Enfermo,9296
A.5.jpg,1.44,98.56,Enfermo,11013
A.34.jpg,2.29,97.71,Enfermo,9475
A.61.jpg,0.16,99.84,Sano,23995
A.72.jpg,0.25,99.75,Sano,22736
A.131.jpg,1.21,98.79,Enfermo,23731
A.164.jpg,26.16,73.84,Enfermo,24594
A.122.jpg,6.72,93.28,Enfermo,25345
A.128.jpg,2.27,97.73,Enfermo,20662
A.19.jpg,9.72,90.28,Enfermo,8857
A.150.jpg,12.65,87.35,Enfermo,22222
A.130.jpg,4.6,95.4,Enfermo,24120
A.2.jpg,1.77,98.23,Enfermo,22293
A.60.jpg,0.16,99.84,Sano,25783
A.41.jpg,0.76,99.24,Sano,20677
A.39.jpg,0.21,99.79,Sano,24588
A.44.jpg,40.76,59.24,Enfermo,7086
A.69.jpg,0.78,99.22,Sano,29442
A.14.jpg,3.18,96.82,Enfermo,6753
A.40.jpg,1.22,98.78,Enfermo,8804
A.7.jpg,1.08,98.92,Enfermo,11081
A.32.jpg,9.49,90.51,Enfermo,9703
A.161.jpg,55.44,44.56,Enfermo,30640
A.58.jpg,0.06,99.94,Sano,19618
A.25.jpg,0.15,99.85,Sano,24140
A.31.jpg,1.02,98.98,Enfermo,22839
A.23.jpg,24.27,75.73,Enfermo,10376
A.4.jpg,1.09,98.91,Enfermo,23907
A.155.jpg,14.74,85.26,Enfermo,18874
A.71.jpg,0.56,99.44,Sano,22567
A.13.jpg,6.37,93.63,Enfermo,6385
A.33.jpg,59.84,40.16,Enfermo,22922
A.127.jpg,1.43,98.57,Enfermo,22399
A.65.jpg,0.61,99.39,Sano,24905
A.136.jpg,7.31,92.69,Enfermo,24311
A.42.jpg,0.57,99.43,Sano,8710
A.168.jpg,26.6,73.4,Enfermo,25293
A.138.jpg,0.75,99.25,Sano,18683
A.176.jpg,9.75,90.25,Enfermo,15366
A.75.jpg,6.79,93.21,Enfermo,24214
A.123.jpg,1.88,98.12,Enfermo,23342
A.43.jpg,0.41,99.59,Sano,20326
A.124.jpg,2.14,97.86,Enfermo,20356
A.170.jpg,17.91,82.09,Enfermo,23392
A.141.jpg,11.9,88.1,Enfermo,9142
A.173.jpg,22.52,77.48,Enfermo,17508
A.21.jpg,0.23,99.77,Sano,22575
A.27.jpg,0.62,99.38,Sano,22263
A.15.jpg,1.0,99.0,Enfermo,25810
A.16.jpg,1.97,98.03,Enfermo,9398
A.74.jpg,0.86,99.14,Sano,22500
A.67.jpg,0.85,99.15,Sano,23637
A.152.jpg,30.81,69.19,Enfermo,16329
A.140.jpg,10.06,89.94,Enfermo,17404
A.160.jpg,40.06,59.94,Enfermo,23723
A.35.jpg,0.48,99.52,Sano,24437
A.153.jpg,32.46,67.54,Enfermo,19917
A.70.jpg,0.13,99.87,Sano,27635
A.54.jpg,0.14,99.86,Sano,20444
A.148.jpg,15.55,84.45,Enfermo,19186
A.22.jpg,0.33,99.67,Sano,24784
A.126.jpg,8.52,91.48,Enfermo,21366
A.156.jpg,41.19,58.81,Enfermo,23032
A.49.jpg,6.63,93.37,Enfermo,10025
A.157.jpg,6.15,93.85,Enfermo,22597
A.143.jpg,8.52,91.48,Enfermo,11680
A.133.jpg,5.24,94.76,Enfermo,18057
A.6.jpg,4.58,95.42,Enfermo,12216
A.12.jpg,20.91,79.09,Enfermo,10370
A.147.jpg,35.52,64.48,Enfermo,17050
A.135.jpg,5.81,94.19,Enfermo,21895
A.137.jpg,2.69,97.31,Enfermo,20876
A.59.jpg,0.74,99.26,Sano,20099
A.167.jpg,5.38,94.62,Enfermo,24364
A.63.jpg,1.77,98.23,Enfermo,23596
A.151.jpg,11.88,88.12,Enfermo,15920
A.50.jpg,1.24,98.76,Enfermo,16748
A.149.jpg,12.63,87.37,Enfermo,23315
A.144.jpg,14.35,85.65,Enfermo,11330
A.125.jpg,0.34,99.66,Sano,19785
A.52.jpg,1.02,98.98,Enfermo,20899
A.26.jpg,3.76,96.24,Enfermo,9539
A.17.jpg,9.37,90.63,Enfermo,6286
A.20.jpg,2.17,97.83,Enfermo,9382
A.48.jpg,13.63,86.37,Enfermo,9026
A.73.jpg,1.3,98.7,Enfermo,21056
A.56.jpg,0.33,99.67,Sano,28565
A.121.jpg,2.25,97.75,Enfermo,25801
A.37.jpg,0.62,99.38,Sano,24269
A.174.jpg,41.86,58.14,Enfermo,21302
